127.0.0.1 - - [25/May/2026:20:00:01 +0000] "GET / HTTP/1.1" 200 4523 "https://google.com" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
192.168.1.15 - - [25/May/2026:20:01:23 +0000] "GET /favicon.ico HTTP/1.1" 200 1150 "http://example.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15"
10.0.0.8 - - [25/May/2026:20:02:45 +0000] "GET /assets/style.css HTTP/1.1" 200 8940 "http://example.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
192.168.80.11 - - [26/May/2026:00:12:56 +0000] "GET http://example.com/robots.txt HTTP/1.1" 200 150 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)"
192.168.80.11 - - [26/May/2026:00:12:56 +0000] "GET http://example.com/blog/security-primer HTTP/1.1" 200 4520 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)"
192.168.80.11 - - [26/May/2026:00:12:56 +0000] "GET http://example.com/products/category HTTP/1.1" 200 8120 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)"
192.168.80.22 - - [26/May/2026:00:12:56 +0000] "POST http://example.com/wp-login.php HTTP/1.1" 200 4120 "http://example.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
192.168.80.22 - - [26/May/2026:00:12:58 +0000] "POST http://example.com/wp-login.php HTTP/1.1" 200 4120 "http://example.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
192.168.80.22 - - [26/May/2026:00:13:00 +0000] "POST http://example.com/wp-login.php HTTP/1.1" 200 4120 "http://example.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
192.168.80.22 - - [26/May/2026:00:13:02 +0000] "POST http://example.com/wp-login.php HTTP/1.1" 200 4120 "http://example.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
192.168.80.22 - - [26/May/2026:00:13:04 +0000] "POST http://example.com/wp-login.php HTTP/1.1" 200 4120 "http://example.com/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64)"
192.168.80.33 - - [26/May/2026:00:12:56 +0000] "POST http://example.com/xmlrpc.php HTTP/1.1" 200 980 "-" "Mozilla/5.0 (compatible; XMLRPC-Abuse-Tester)"
192.168.80.33 - - [26/May/2026:00:12:56 +0000] "POST http://example.com/xmlrpc.php HTTP/1.1" 200 980 "-" "Mozilla/5.0 (compatible; XMLRPC-Abuse-Tester)"
192.168.80.33 - - [26/May/2026:00:12:56 +0000] "POST http://example.com/xmlrpc.php HTTP/1.1" 200 980 "-" "Mozilla/5.0 (compatible; XMLRPC-Abuse-Tester)"
192.168.80.44 - - [26/May/2026:00:12:56 +0000] "GET http://example.com/api/v1/products?page=0 HTTP/1.1" 200 12050 "-" "Python-urllib/3.10"
192.168.80.44 - - [26/May/2026:00:12:57 +0000] "GET http://example.com/api/v1/products?page=1 HTTP/1.1" 200 12050 "-" "Python-urllib/3.10"
192.168.80.44 - - [26/May/2026:00:12:58 +0000] "GET http://example.com/api/v1/products?page=2 HTTP/1.1" 200 12050 "-" "Python-urllib/3.10"
192.168.80.44 - - [26/May/2026:00:12:59 +0000] "GET http://example.com/api/v1/products?page=3 HTTP/1.1" 200 12050 "-" "Python-urllib/3.10"
192.168.80.44 - - [26/May/2026:00:13:00 +0000] "GET http://example.com/api/v1/products?page=4 HTTP/1.1" 200 12050 "-" "Python-urllib/3.10"
192.168.80.44 - - [26/May/2026:00:13:01 +0000] "GET http://example.com/api/v1/products?page=5 HTTP/1.1" 200 12050 "-" "Python-urllib/3.10"
192.168.80.44 - - [26/May/2026:00:13:02 +0000] "GET http://example.com/api/v1/products?page=6 HTTP/1.1" 200 12050 "-" "Python-urllib/3.10"
192.168.80.44 - - [26/May/2026:00:13:03 +0000] "GET http://example.com/api/v1/products?page=7 HTTP/1.1" 200 12050 "-" "Python-urllib/3.10"
